epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1585229316,03/26/2020 14:28:36 +01:00,3,40.3867,-79.9064,15120,"Industrial exhaust like breathing next to a car muffler, hints of sulfur",Disgust. It's supposed to be a nice day so of course it stinks outside so you can't open windows. ,
1585229343,03/26/2020 14:29:03 +01:00,5,40.4444,-79.9155,15217,Acrid sulphuric smell,"Conegestion, coughing",
1585229570,03/26/2020 14:32:50 +01:00,3,40.4273,-79.8629,15221,Industrial ,Headache ,
1585229807,03/26/2020 14:36:47 +01:00,2,40.4418,-79.924,15217,,,
1585229906,03/26/2020 14:38:26 +01:00,4,40.4174,-79.9204,15217,Industrial ,"Runny nose cough 
Depresdion & anger",
1585230366,03/26/2020 14:46:06 +01:00,4,40.4769,-79.92,15206,,,
1585230752,03/26/2020 14:52:32 +01:00,4,40.4238,-79.8663,15221,"Sulfur, shit",,How about USX Clairton? Assholes
1585230824,03/26/2020 14:53:44 +01:00,5,40.3107,-79.8982,15025,,,
1585230891,03/26/2020 14:54:51 +01:00,4,40.4335,-79.892,15218,Industrial exhaust ,,
1585230927,03/26/2020 14:55:27 +01:00,5,40.4267,-79.9165,15217,,,
1585231005,03/26/2020 14:56:45 +01:00,3,40.4329,-79.8764,15218,exhaust,,
1585231037,03/26/2020 14:57:17 +01:00,3,40.4317,-79.8758,15218,exhaust,,
1585231421,03/26/2020 15:03:41 +01:00,4,40.4839,-80.0466,15212,,,
1585231557,03/26/2020 15:05:57 +01:00,5,40.4401,-79.8942,15221,Rotten eggs,,This is disgusting. It wakes me up at night. I moved here less than a year ago and will be moving asap after graduation. 
1585231856,03/26/2020 15:10:56 +01:00,3,40.4236,-79.8824,15218,,,
1585231898,03/26/2020 15:11:38 +01:00,4,40.4339,-79.8952,15218,Rotten eggs,,
1585232057,03/26/2020 15:14:17 +01:00,3,40.4197,-79.9309,15217,Sulphuric ,,
1585232361,03/26/2020 15:19:21 +01:00,3,40.4453,-79.9295,15217,,,
1585232475,03/26/2020 15:21:15 +01:00,4,40.4186,-79.8461,15221,Sulfur ,Can’t breathe and can’t go outside ,SHUT DOWN US STEEL. THEY ARE KILLING US!!
1585232524,03/26/2020 15:22:04 +01:00,3,40.4422,-79.8983,15221,Diesel ,,
1585232643,03/26/2020 15:24:03 +01:00,4,40.4322,-79.9184,15217,Industrial ,,
1585232787,03/26/2020 15:26:27 +01:00,3,40.4286,-79.8677,15221,Coke works,,
1585233944,03/26/2020 15:45:44 +01:00,3,40.3441,-79.862,15132,Industrial ,,
1585233970,03/26/2020 15:46:10 +01:00,4,40.4313,-79.8772,15218,Industrial ,"Headache, nausea",
